id;id_courrier;demande_envoi;date_envoi;id_cpr;nir;type_courrier;modele;statut_ged;statut_envoi_courrier
1;28093;2019-05-22T10:30:49;2019-05-22T12:03:28;27599;scalable;Small;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account
2;92630;2019-05-22T16:28:45;2019-05-22T09:27:24;11586;IB Investment Account archive;envisioneer;moratorium pixel withdrawal;Mississippi embrace Developer;synthesize Idaho compress
3;49379;2019-05-23T00:06:43;2019-05-22T12:32:13;71066;Small partnerships;Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account
4;69478;2019-05-22T21:12:47;2019-05-22T03:57:05;92969;virtual deposit;Squares mint green e-business;Ghana back-end National;Direct;Profit-focused
5;42710;2019-05-23T01:04:11;2019-05-22T05:27:01;35256;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive
6;69630;2019-05-22T13:08:55;2019-05-22T07:59:17;30087;zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer
7;24205;2019-05-22T10:51:28;2019-05-22T08:57:04;8085;24/7 Re-contextualized cross-platform;invoice withdrawal;bypassing optical;installation;Argentine Peso
8;85835;2019-05-22T10:54:04;2019-05-22T17:15:34;67756;Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global
9;87733;2019-05-22T08:23:01;2019-05-22T18:53:30;22855;Bacon Designer;Equatorial Guinea Vision-oriented;Agent;Human deposit;even-keeled Saint Helena Pound
10;84666;2019-05-22T03:33:07;2019-05-22T04:31:51;88708;optical invoice;Marketing;Dynamic Home Loan Account Tools;Branding;Home Gloves Latvia
